,country,year,born,male_born,female_born,birth_rate,fertility_rate,variation
933,senegal,2020,,,,33.42,4.49,-1.43
934,somalia,2020,,,,41.41,5.89,-1.56
935,surinam,2020,,,,18.05,2.37,-0.96
936,south_sudan,2020,,,,34.3,4.54,-1.65
937,sao_tome_principe,2020,,,,30.81,4.21,-1.24
938,the_savior,2020,,,,17.83,2.0,-0.94
939,syria,2020,,,,22.71,2.73,-1.34
940,swatini,2020,,,,25.4,2.92,-1.32
941,chad,2020,,,,41.16,5.55,-1.7
942,togo,2020,,,,32.33,4.2,-1.41
943,thailand,2020,,,,9.99,1.5,-0.86
944,tajikistan,2020,,,,29.23,3.52,-1.01
945,east_timor,2020,,,,29.02,3.85,-2.28
946,turkmenistan,2020,,,,22.35,2.7,-1.42
947,tunisia,2020,,,,16.6,2.15,-1.06
948,tonga,2020,,,,23.75,3.48,-1.05
949,turkiye,2021,1079842.0,570892.0,541967.0,12.8,2.04,8.46
950,trinidad_tobago,2020,,,,12.24,1.7,-0.7
951,tanzania,2020,,,,35.98,4.77,-1.22
952,ukraine,2021,271983.0,151568.0,141889.0,6.6,1.22,6.75
953,uganda,2020,,,,36.67,4.7,-2.51
954,uruguay,2020,48200.0,,,13.62,1.95,-0.56
955,uzbekistan,2020,,,,24.6,2.9,4.13
956,saint_vincent_the_grenadines,2020,,,,13.94,1.85,-0.96
957,venezuela,2020,615132.0,316884.0,298248.0,17.3,2.23,-0.89
958,vietnam,2020,,,,16.12,2.05,-0.2
959,vanuatu,2020,,,,28.76,3.71,-0.99
960,samoa,2020,,,,23.86,3.79,-1.17
961,yemen,2020,,,,29.3,3.61,-2.32
962,south_africa,2020,,,,19.77,2.36,-0.97
963,zambia,2020,,,,35.44,4.5,-1.38
964,zimbabwe,2020,,,,28.98,3.46,-2.01
